Posição;Poder;Nome Poder;Categoria Economica;Nome Categoria Economica;Receita por Fonte;Nome Receita por Fonte;Receita por Sub Fonte;Nome Receita por SubFonte;Rubrica;Nome Rubrica;Alinea;Nome Alinea;Sub Alinea;Nome Sub Alinea;Gestão;Nome Gestão;Órgão;Nome Órgão;UG;Nome UG;Fonte de Recursos;Nome Fonte de Recursos;Valor Previsão Inicial;Valor Previsão Atualizada;Valor Receita a Realizar;Valor Receita Realizada
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409910;Royalties pela Produção do Petróleo - Exceden;3;AUTARQUIAS;20;Secretaria de Estado de Fazenda e Planejamento;123400;FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.;231;Recursos Próprios do Rioprevidência;222546546;566766633,2;457961019,4;108805613,8
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409910;Royalties pela Produção do Petróleo - Exceden;1;TESOURO;99;Tesouro do Estado do Rio de Janeiro;999900;TESOURO DO ESTADO DO RIO DE JANEIRO;104;Compensação Financeira pela Exploração de Petróleo;107354018;199137706,6;55931629,73;143206076,9
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409907;Cota-Parte do Fundo Especial do Petróleo - FE;3;AUTARQUIAS;20;Secretaria de Estado de Fazenda e Planejamento;123400;FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.;231;Recursos Próprios do Rioprevidência;4327749;6833498,5;-2775,14;6836273,64
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409905;Royalties pela Produção do Petróleo - Exceden;3;AUTARQUIAS;20;Secretaria de Estado de Fazenda e Planejamento;123400;FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.;231;Recursos Próprios do Rioprevidência;358562361;281833796,2;-582271010,1;864104806,3
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409906;Cota-Parte Participação Especial  Exp. Petrol;3;AUTARQUIAS;20;Secretaria de Estado de Fazenda e Planejamento;123400;FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.;231;Recursos Próprios do Rioprevidência;1408637846;1123362776;-1547289295;2670652070
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409908;Cota-parte Royalties Produção do Petróleo - A;1;TESOURO;99;Tesouro do Estado do Rio de Janeiro;999900;TESOURO DO ESTADO DO RIO DE JANEIRO;104;Compensação Financeira pela Exploração de Petróleo;225082332;465605037,8;128382888,7;337222149,1
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409908;Cota-parte Royalties Produção do Petróleo - A;3;AUTARQUIAS;20;Secretaria de Estado de Fazenda e Planejamento;123400;FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.;231;Recursos Próprios do Rioprevidência;230494637;580692481,8;580692481,8;0
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409905;Royalties pela Produção do Petróleo - Exceden;1;TESOURO;99;Tesouro do Estado do Rio de Janeiro;999900;TESOURO DO ESTADO DO RIO DE JANEIRO;104;Compensação Financeira pela Exploração de Petróleo;136288484;74919364,67;68378360,93;6541003,74
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409907;Cota-Parte do Fundo Especial do Petróleo - FE;1;TESOURO;99;Tesouro do Estado do Rio de Janeiro;999900;TESOURO DO ESTADO DO RIO DE JANEIRO;104;Compensação Financeira pela Exploração de Petróleo;276239;436180,76;2775,1;433405,66
01/12/2017;1;Executivo;1;RECEITAS CORRENTES;13;RECEITA PATRIMONIAL;134;Compensação Financeira;1340;Compensação Financeira;134099;Outras Compensações Financeiras;13409911;Cota-Parte Participação Espec. Exp. Petrol. e;3;AUTARQUIAS;20;Secretaria de Estado de Fazenda e Planejamento;123400;FUNDO UNICO DE PREVIDENCIA DO ESTADO DO RJ.;231;Recursos Próprios do Rioprevidência;874290001;2254678029;1691445784;563232244,9
